pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
-0.6905247792915867,-0.011249588134293375,-0.013011158799544825,-0.7231042545371529
-0.6905247792915867,-0.011249588134293375,-0.013011158799544825,-0.7231042545371529
-0.6905247792915867,-0.011249588134293375,-0.013011158799544825,-0.7231042545371529
-0.6905233152673977,-0.011008450671667787,-0.013074053908730603,-0.7231081498039873
-0.6905233152673977,-0.011008450671667787,-0.013074053908730603,-0.7231081498039873
-0.6905233152673977,-0.011008450671667787,-0.013074053908730603,-0.7231081498039873
-0.6905736249208578,-0.011109439077219539,-0.012954437871264112,-0.7230607521995895
-0.6906505060552743,-0.011043923397507618,-0.012856867412282237,-0.7229900629378436
-0.6905860007474238,-0.011069800817948372,-0.012776974224126554,-0.7230526234793517
-0.6905693064879648,-0.01069446154536746,-0.01282914249696854,-0.7230732928555346
-0.6905693064879648,-0.01069446154536746,-0.01282914249696854,-0.7230732928555346
-0.6905693064879648,-0.01069446154536746,-0.01282914249696854,-0.7230732928555346
-0.6905693064879648,-0.01069446154536746,-0.01282914249696854,-0.7230732928555346
-0.6906774684213229,-0.010815482492408064,-0.012785447318623487,-0.7229690903608765
-0.6907217167428801,-0.010698216392070067,-0.01276662830313801,-0.7229287685374693
-0.6904737187082342,-0.010685068707673946,-0.012715783210906332,-0.7231668054876887
-0.6903830951311767,-0.01021621132040081,-0.012479261548579326,-0.7232642017638313
-0.6903830951311767,-0.01021621132040081,-0.012479261548579326,-0.7232642017638313
-0.6906706286091331,-0.009934038508691553,-0.012478648003587455,-0.7229936181197791
-0.6908259409566226,-0.00985897764295818,-0.01257294811283833,-0.7228446110190887
-0.6905617192875878,-0.009898836268136124,-0.01248968398465472,-0.7230979296693993
-0.6905617192875878,-0.009898836268136124,-0.01248968398465472,-0.7230979296693993
-0.6899706602461253,-0.00983251126238481,-0.012439262532519216,-0.7236637269011044
-0.6905710878440057,-0.009539477214218602,-0.012341740715986378,-0.7230963766476759
-0.6905710878440057,-0.009539477214218602,-0.012341740715986378,-0.7230963766476759
-0.6905710878440057,-0.009539477214218602,-0.012341740715986378,-0.7230963766476759
-0.6905710878440057,-0.009539477214218602,-0.012341740715986378,-0.7230963766476759
-0.6904345176110143,-0.00935795375229165,-0.012230778439617864,-0.7232308798413469
-0.6904345176110143,-0.00935795375229165,-0.012230778439617864,-0.7232308798413469
-0.69061055661898,-0.008949760399492043,-0.012167881742526709,-0.723069064417659
-0.69061055661898,-0.008949760399492043,-0.012167881742526709,-0.723069064417659
-0.69061055661898,-0.008949760399492043,-0.012167881742526709,-0.723069064417659
-0.69061055661898,-0.008949760399492043,-0.012167881742526709,-0.723069064417659
-0.6903129152815466,-0.008866451140241732,-0.012200545463539087,-0.7233537994354503
-0.6908208525928671,-0.008256227044649985,-0.01183569700942217,-0.722882047511468
-0.6908208525928671,-0.008256227044649985,-0.01183569700942217,-0.722882047511468
-0.6911004398140465,-0.008054242333321209,-0.01188720088935779,-0.7226161682699108
-0.6906530187196728,-0.008058974489450869,-0.011564299440857042,-0.7230489140675727
-0.6906913444807582,-0.007755780255317846,-0.01150184660004757,-0.7230166156797886
-0.6906913444807582,-0.007755780255317846,-0.01150184660004757,-0.7230166156797886
-0.6906913444807582,-0.007755780255317846,-0.01150184660004757,-0.7230166156797886
-0.6912271437101468,-0.00752037221256768,-0.011523371554072468,-0.7225065371333299
-0.6912271437101468,-0.00752037221256768,-0.011523371554072468,-0.7225065371333299
-0.6907138578348467,-0.007128531150796566,-0.011447898057713922,-0.7230025205058636
-0.6907138578348467,-0.007128531150796566,-0.011447898057713922,-0.7230025205058636
-0.6900574309234336,-0.007047111272041264,-0.011222973518214514,-0.7236332916946777
-0.6908435728495124,-0.006651282473909257,-0.01123232275143021,-0.7228864149733175
-0.6906179642031489,-0.006338390841758956,-0.011027858733098608,-0.7231079387128347
-0.6906179642031489,-0.006338390841758956,-0.011027858733098608,-0.7231079387128347
-0.6906357469672081,-0.005595952695513492,-0.010789902792157037,-0.7231006797536126
-0.6906357469672081,-0.005595952695513492,-0.010789902792157037,-0.7231006797536126
-0.6906357469672081,-0.005595952695513492,-0.010789902792157037,-0.7231006797536126
-0.6906357469672081,-0.005595952695513492,-0.010789902792157037,-0.7231006797536126
-0.6906357469672081,-0.005595952695513492,-0.010789902792157037,-0.7231006797536126
-0.6906357469672081,-0.005595952695513492,-0.010789902792157037,-0.7231006797536126
-0.6906357469672081,-0.005595952695513492,-0.010789902792157037,-0.7231006797536126
-0.6904932684408743,-0.004622636548111007,-0.01034754680626876,-0.7232499937951485
-0.6904932684408743,-0.004622636548111007,-0.01034754680626876,-0.7232499937951485
-0.6902022033582829,-0.00451236429801914,-0.010339776915229386,-0.7235286484742729
-0.6902022033582829,-0.00451236429801914,-0.010339776915229386,-0.7235286484742729
-0.6905067428230109,-0.00336715959103143,-0.009987928922643979,-0.7232490752444314
-0.6905863247838998,-0.0031515241098400287,-0.009967182103483095,-0.723174345792224
-0.6905863247838998,-0.0031515241098400287,-0.009967182103483095,-0.723174345792224
-0.6905863247838998,-0.0031515241098400287,-0.009967182103483095,-0.723174345792224
-0.6905863247838998,-0.0031515241098400287,-0.009967182103483095,-0.723174345792224
-0.6904201665551896,-0.00238747322631621,-0.009384572287927906,-0.7233438199123887
-0.6904201665551896,-0.00238747322631621,-0.009384572287927906,-0.7233438199123887
-0.6904201665551896,-0.00238747322631621,-0.009384572287927906,-0.7233438199123887
-0.6906703055483946,-0.002081625867496384,-0.009357785113621543,-0.7231062758282341
-0.6904031425939903,-0.0016263284873176097,-0.009387711258980937,-0.7233621560125083
-0.6907839992556488,-0.0008355083665642854,-0.009230163533197427,-0.7230018224614883
-0.6907839992556488,-0.0008355083665642854,-0.009230163533197427,-0.7230018224614883
-0.6907839992556488,-0.0008355083665642854,-0.009230163533197427,-0.7230018224614883
-0.6907839992556488,-0.0008355083665642854,-0.009230163533197427,-0.7230018224614883
-0.6907839992556488,-0.0008355083665642854,-0.009230163533197427,-0.7230018224614883
-0.6903070666992168,0.00039570776500992035,-0.008907170711870534,-0.7234616098225909
-0.6905117979653912,0.0007053284786891264,-0.008650070134752993,-0.7232690904260332
-0.6907931572318798,0.0014932073380073702,-0.008323219838192687,-0.723002960773302
-0.6907931572318798,0.0014932073380073702,-0.008323219838192687,-0.723002960773302
-0.6906982615353873,0.001939094350244813,-0.00820361424125682,-0.7230939599109116
-0.6911734944120249,0.0022104608266854137,-0.007922805117786745,-0.722642073481359
-0.6911734944120249,0.0022104608266854137,-0.007922805117786745,-0.722642073481359
-0.6910248793489048,0.002863470189990995,-0.0077727383200688295,-0.722783564081378
-0.6910248793489048,0.002863470189990995,-0.0077727383200688295,-0.722783564081378
-0.6910248793489048,0.002863470189990995,-0.0077727383200688295,-0.722783564081378
-0.6906749983740663,0.003589188167986696,-0.0076024120398694925,-0.7231163396129123
-0.6911105569020368,0.00434610979370233,-0.007146776091705408,-0.7227007038404085
-0.690976690043391,0.004707263596482271,-0.00700394147502108,-0.7228278318947303
-0.690976690043391,0.004707263596482271,-0.00700394147502108,-0.7228278318947303
-0.690793143928378,0.005418199839393724,-0.007209963005753757,-0.722996263439683
-0.6911507283117002,0.00552678851935093,-0.0066963457309405,-0.7226585565943026
-0.6910443016591236,0.005821093846239873,-0.00669755251698836,-0.7227580115755281
-0.6910443016591236,0.005821093846239873,-0.00669755251698836,-0.7227580115755281
-0.6910059796532092,0.005925860830802907,-0.006430607508332365,-0.7227962230389959
-0.6910059796532092,0.005925860830802907,-0.006430607508332365,-0.7227962230389959
-0.6910059796532092,0.005925860830802907,-0.006430607508332365,-0.7227962230389959
-0.6907772410733739,0.00676223209533644,-0.0063964700112537996,-0.7230077741341769
-0.6909931303947029,0.006966836246487161,-0.006006215938019702,-0.72280285221149
-0.6908914762324041,0.007566546322631808,-0.00578501988626463,-0.7228958085673347
-0.6907598223187059,0.00833344076970398,-0.005654577737945962,-0.723014221427403
-0.6907598223187059,0.00833344076970398,-0.005654577737945962,-0.723014221427403
-0.6907598223187059,0.00833344076970398,-0.005654577737945962,-0.723014221427403
-0.6907598223187059,0.00833344076970398,-0.005654577737945962,-0.723014221427403
-0.6907598223187059,0.00833344076970398,-0.005654577737945962,-0.723014221427403
-0.6906454489337264,0.008867100636060379,-0.0059283106702762295,-0.7231148369493836
